Vernier Format 2
Untitled.cmbl 10/31/2024 12:01:05 .
Latest
Time	Position	Velocity 1	Acceleration 1	Angle 2	Velocity 2	Acceleration 2
t	x	v 1	acc 1	Angle 2	v 2	acc 2
s	m	m/s	m/s²	rad	rad/s	rad/s²

0.05	0.9197545	-0.204466111111	-0.412086975309	-0.0174532925199	-1.06659009844	-1.33377630492
0.1	0.910322	-0.224855555556	-0.385229228395	-0.0698131700798	-1.11507146655	-1.69630920202
0.15	0.898317	-0.248217666667	-0.27824287037	-0.12217304764	-1.22754824057	-1.90370172116
0.2	0.88494	-0.260584722222	-0.0277470061728	-0.191986217719	-1.34778203348	-1.36071039831
0.25	0.8713915	-0.254582222222	0.317200895062	-0.261799387799	-1.38656712797	-0.216550110896
0.3	0.8587005	-0.228571388889	0.665737592593	-0.331612557879	-1.37687085435	1.26913448077
0.35	0.847896	-0.185982222222	0.966487191358	-0.401425727959	-1.29930066537	3.48527168531
0.4	0.8394925	-0.128720277778	1.1876375	-0.471238898038	-1.02780500395	5.67770688766
0.45	0.8346905	-0.0628833333333	1.30572901235	-0.506145483078	-0.688435427176	7.02441155741
0.5	0.833147	0.00533555555556	1.33309490741	-0.541052068118	-0.31028075591	7.85398163397
0.55	0.835205	0.0735544444444	1.27545185185	-0.541052068118	0.135747830711	7.74085844172
0.6	0.840693	0.136628333333	1.12454243827	-0.523598775598	0.504206228354	6.7442969861
0.65	0.849268	0.189602777778	0.886030401235	-0.488692190558	0.824183257886	5.38143186032
0.7	0.860244	0.227999722222	0.577436265432	-0.436332312999	1.03750127757	4.03472719057
0.75	0.8727635	0.248865555556	0.226072993827	-0.383972435439	1.21203420277	2.93581618005
0.8	0.8857975	0.251914444444	-0.153661882716	-0.314159265359	1.34778203348	1.5136960488
0.85	0.8988315	0.233716388889	-0.531544135802	-0.244346095279	1.37687085435	-0.231633203197
0.9	0.909979	0.195986388889	-0.847601697531	-0.174532925199	1.33808575986	-2.29478475725
0.95	0.918897	0.145393888889	-1.07944429012	-0.10471975512	1.16355283466	-4.63805088261
1	0.9248995	0.0849877777778	-1.22897746914	-0.0523598775598	0.853272078753	-6.5126637829
1.05	0.9276435	0.018865	-1.28677932099	-0.0174532925199	0.48481368111	-7.70315071096
