Vernier Format 2
Untitled.cmbl 10/3/2024 10:46:08 .
Latest
Time	Radiation
t	Rad
s	Counts

0.5	40
1	55
1.5	36
2	40
2.5	35
3	30
3.5	37
4	47
4.5	31
5	34
5.5	31
6	42
6.5	42
7	37
7.5	36
8	31
8.5	36
9	47
9.5	39
10	32
10.5	31
11	38
11.5	36
12	48
12.5	38
13	27
13.5	42
14	34
14.5	34
15	36
15.5	37
16	41
16.5	40
17	31
17.5	34
18	27
18.5	24
19	38
19.5	33
20	37
20.5	32
21	28
21.5	39
22	34
22.5	30
23	48
23.5	39
24	34
24.5	39
25	28
25.5	46
26	40
26.5	36
27	39
27.5	33
28	40
28.5	30
29	43
29.5	45
30	33
