Vernier Format 2
Untitled.cmbl 10/3/2024 10:36:23 .
Latest
Time	Radiation
t	Rad
s	Counts

0.5	42
1	31
1.5	40
2	40
2.5	40
3	32
3.5	30
4	46
4.5	35
5	40
5.5	40
6	53
6.5	40
7	33
7.5	37
8	32
8.5	41
9	33
9.5	32
10	34
10.5	40
11	26
11.5	33
12	41
12.5	41
13	34
13.5	37
14	41
14.5	42
15	38
15.5	50
16	36
16.5	42
17	37
17.5	36
18	38
18.5	29
19	36
19.5	33
20	39
20.5	34
21	36
21.5	33
22	37
22.5	42
23	43
23.5	37
24	31
24.5	34
25	49
25.5	39
26	43
26.5	32
27	41
27.5	37
28	30
28.5	32
29	50
29.5	33
30	46
