Vernier Format 2
Untitled.cmbl 10/3/2024 10:45:21 .
Latest
Time	Radiation
t	Rad
s	Counts

0.5	37
1	41
1.5	43
2	29
2.5	41
3	42
3.5	39
4	40
4.5	34
5	36
5.5	38
6	41
6.5	41
7	41
7.5	39
8	44
8.5	28
9	38
9.5	39
10	51
10.5	38
11	44
11.5	38
12	39
12.5	41
13	34
13.5	40
14	36
14.5	42
15	36
15.5	34
16	41
16.5	31
17	37
17.5	38
18	42
18.5	37
19	33
19.5	30
20	52
20.5	35
21	41
21.5	39
22	33
22.5	39
23	40
23.5	42
24	39
24.5	42
25	41
25.5	43
26	38
26.5	29
27	40
27.5	40
28	38
28.5	39
29	41
29.5	27
30	36
