Vernier Format 2
Untitled.cmbl 10/3/2024 10:34:35 .
Latest
Time	Radiation
t	Rad
s	Counts

0.5	48
1	45
1.5	43
2	28
2.5	46
3	26
3.5	32
4	40
4.5	33
5	38
5.5	42
6	32
6.5	32
7	45
7.5	40
8	44
8.5	49
9	33
9.5	32
10	41
10.5	35
11	39
11.5	38
12	32
12.5	42
13	40
13.5	43
14	35
14.5	41
15	34
15.5	36
16	33
16.5	37
17	33
17.5	32
18	30
18.5	34
19	47
19.5	39
20	33
20.5	41
21	39
21.5	35
22	27
22.5	38
23	51
23.5	47
24	39
24.5	33
25	50
25.5	31
26	35
26.5	38
27	30
27.5	36
28	45
28.5	29
29	36
29.5	34
30	27
