Vernier Format 2
Untitled.cmbl 10/3/2024 10:40:53 .
Latest
Time	Radiation
t	Rad
s	Counts

0.5	34
1	43
1.5	36
2	30
2.5	33
3	30
3.5	36
4	38
4.5	37
5	34
5.5	42
6	41
6.5	41
7	43
7.5	48
8	37
8.5	52
9	42
9.5	41
10	29
10.5	28
11	33
11.5	40
12	38
12.5	42
13	39
13.5	33
14	28
14.5	30
15	31
15.5	39
16	33
16.5	43
17	34
17.5	34
18	45
18.5	47
19	31
19.5	34
20	29
20.5	45
21	30
21.5	37
22	34
22.5	43
23	29
23.5	47
24	34
24.5	39
25	37
25.5	41
26	38
26.5	33
27	32
27.5	41
28	34
28.5	31
29	34
29.5	33
30	44
