Vernier Format 2
Untitled.cmbl 10/3/2024 10:37:08 .
Latest
Time	Radiation
t	Rad
s	Counts

0.5	31
1	35
1.5	44
2	34
2.5	34
3	42
3.5	33
4	42
4.5	43
5	45
5.5	40
6	21
6.5	39
7	43
7.5	27
8	38
8.5	48
9	38
9.5	39
10	37
10.5	31
11	41
11.5	30
12	41
12.5	32
13	36
13.5	48
14	43
14.5	45
15	34
15.5	41
16	29
16.5	30
17	36
17.5	35
18	36
18.5	37
19	36
19.5	45
20	28
20.5	30
21	35
21.5	33
22	41
22.5	40
23	40
23.5	44
24	37
24.5	41
25	31
25.5	42
26	46
26.5	34
27	30
27.5	46
28	31
28.5	32
29	38
29.5	34
30	39
