Vernier Format 2
Untitled.cmbl 10/3/2024 12:18:35 .
Latest
Time	Radiation
t	Rad
s	Counts

0.5	47
1	41
1.5	45
2	28
2.5	42
3	33
3.5	28
4	44
4.5	42
5	28
5.5	36
6	37
6.5	34
7	39
7.5	40
8	31
8.5	34
9	46
9.5	30
10	41
10.5	32
11	35
11.5	37
12	47
12.5	37
13	38
13.5	33
14	28
14.5	34
15	33
15.5	46
16	35
16.5	38
17	44
17.5	45
18	32
18.5	38
19	46
19.5	41
20	39
20.5	44
21	39
21.5	31
22	37
22.5	35
23	39
23.5	34
24	42
24.5	40
25	30
25.5	42
26	30
26.5	38
27	29
27.5	38
28	31
28.5	42
29	37
29.5	33
30	29
30.5	40
31	45
31.5	32
32	39
32.5	31
33	40
33.5	37
34	31
34.5	39
35	40
35.5	37
36	40
36.5	41
37	37
37.5	30
38	41
38.5	38
39	31
39.5	34
40	41
40.5	44
41	40
41.5	31
42	43
42.5	25
43	41
43.5	34
44	27
44.5	33
45	30
45.5	31
46	44
46.5	31
47	40
47.5	31
48	38
48.5	29
49	30
49.5	41
50	38
50.5	34
51	32
51.5	33
52	36
52.5	38
53	33
53.5	36
54	36
54.5	31
55	31
55.5	41
56	40
56.5	38
57	31
57.5	30
58	47
58.5	31
59	40
59.5	45
60	34
60.5	38
61	34
61.5	36
62	32
62.5	35
63	40
63.5	37
64	31
64.5	30
65	43
65.5	37
66	39
66.5	34
67	33
67.5	28
68	42
68.5	42
69	36
69.5	37
70	48
70.5	32
71	41
71.5	42
72	37
72.5	40
73	35
73.5	35
74	37
74.5	31
75	36
75.5	37
76	27
76.5	42
77	37
77.5	37
78	40
78.5	45
79	48
79.5	47
80	38
80.5	38
81	50
81.5	46
82	30
82.5	25
83	43
83.5	37
84	42
84.5	39
85	38
85.5	35
86	36
86.5	34
87	33
87.5	45
88	38
88.5	31
89	41
89.5	40
90	49
90.5	34
91	35
91.5	31
92	37
92.5	34
93	38
93.5	39
94	31
94.5	32
95	39
95.5	32
96	45
96.5	34
97	41
97.5	37
98	43
98.5	40
99	29
99.5	49
100	29
100.5	36
101	28
101.5	30
102	36
102.5	37
103	34
103.5	40
104	35
104.5	34
105	46
105.5	32
106	41
106.5	39
107	42
107.5	38
108	35
108.5	45
109	42
109.5	47
110	37
110.5	28
111	40
111.5	41
112	38
112.5	34
113	36
113.5	41
114	37
114.5	37
115	36
115.5	38
116	37
116.5	31
117	42
117.5	45
118	37
118.5	36
119	32
119.5	38
120	33
