Vernier Format 2
Untitled.cmbl 10/3/2024 10:46:51 .
Latest
Time	Radiation
t	Rad
s	Counts

0.5	39
1	26
1.5	40
2	38
2.5	39
3	30
3.5	38
4	41
4.5	36
5	38
5.5	38
6	42
6.5	37
7	33
7.5	29
8	40
8.5	35
9	28
9.5	34
10	34
10.5	27
11	37
11.5	38
12	42
12.5	29
13	35
13.5	34
14	34
14.5	40
15	41
15.5	32
16	40
16.5	37
17	39
17.5	37
18	37
18.5	41
19	40
19.5	36
20	33
20.5	32
21	31
21.5	43
22	25
22.5	44
23	39
23.5	30
24	38
24.5	27
25	31
25.5	38
26	30
26.5	34
27	46
27.5	46
28	36
28.5	31
29	40
29.5	37
30	29
