Vernier Format 2
Untitled.cmbl 10/3/2024 10:48:22 .
Latest
Time	Radiation
t	Rad
s	Counts

0.5	37
1	32
1.5	42
2	32
2.5	46
3	30
3.5	31
4	39
4.5	40
5	32
5.5	32
6	38
6.5	37
7	34
7.5	37
8	42
8.5	32
9	28
9.5	43
10	42
10.5	30
11	35
11.5	48
12	36
12.5	35
13	26
13.5	32
14	34
14.5	35
15	39
15.5	40
16	45
16.5	43
17	37
17.5	40
18	40
18.5	44
19	24
19.5	31
20	39
20.5	34
21	37
21.5	36
22	35
22.5	41
23	32
23.5	39
24	34
24.5	43
25	43
25.5	36
26	34
26.5	34
27	36
27.5	45
28	31
28.5	32
29	31
29.5	33
30	37
