Vernier Format 2
Untitled.cmbl 10/3/2024 10:39:01 .
Latest
Time	Radiation
t	Rad
s	Counts

0.5	34
1	39
1.5	32
2	39
2.5	33
3	44
3.5	36
4	39
4.5	32
5	34
5.5	45
6	33
6.5	32
7	32
7.5	37
8	37
8.5	33
9	31
9.5	31
10	28
10.5	33
11	46
11.5	38
12	41
12.5	36
13	47
13.5	21
14	36
14.5	37
15	34
15.5	49
16	41
16.5	35
17	34
17.5	41
18	41
18.5	41
19	36
19.5	52
20	34
20.5	25
21	36
21.5	43
22	39
22.5	32
23	49
23.5	37
24	44
24.5	39
25	38
25.5	37
26	49
26.5	38
27	30
27.5	39
28	35
28.5	34
29	33
29.5	49
30	40
