Vernier Format 2
Untitled.cmbl 10/3/2024 10:35:33 .
Latest
Time	Radiation
t	Rad
s	Counts

0.5	47
1	33
1.5	31
2	49
2.5	29
3	45
3.5	42
4	38
4.5	37
5	38
5.5	27
6	33
6.5	44
7	27
7.5	37
8	34
8.5	43
9	42
9.5	38
10	42
10.5	44
11	31
11.5	32
12	33
12.5	29
13	46
13.5	38
14	42
14.5	29
15	31
15.5	44
16	41
16.5	41
17	41
17.5	33
18	40
18.5	41
19	43
19.5	44
20	41
20.5	42
21	41
21.5	37
22	30
22.5	45
23	44
23.5	45
24	47
24.5	29
25	29
25.5	42
26	51
26.5	37
27	33
27.5	38
28	34
28.5	36
29	40
29.5	45
30	33
