Vernier Format 2
Untitled.cmbl 10/3/2024 10:38:09 .
Latest
Time	Radiation
t	Rad
s	Counts

0.5	33
1	36
1.5	39
2	37
2.5	33
3	33
3.5	34
4	32
4.5	38
5	33
5.5	44
6	36
6.5	45
7	41
7.5	34
8	46
8.5	36
9	38
9.5	37
10	42
10.5	24
11	39
11.5	38
12	45
12.5	49
13	44
13.5	39
14	36
14.5	37
15	35
15.5	47
16	27
16.5	33
17	28
17.5	36
18	31
18.5	39
19	41
19.5	37
20	31
20.5	36
21	27
21.5	31
22	35
22.5	32
23	26
23.5	41
24	43
24.5	43
25	46
25.5	45
26	41
26.5	32
27	37
27.5	38
28	42
28.5	36
29	43
29.5	42
30	39
