Vernier Format 2
Untitled.cmbl 10/3/2024 10:44:36 .
Latest
Time	Radiation
t	Rad
s	Counts

0.5	40
1	43
1.5	41
2	39
2.5	35
3	43
3.5	34
4	35
4.5	43
5	28
5.5	35
6	49
6.5	41
7	44
7.5	38
8	37
8.5	29
9	52
9.5	39
10	37
10.5	51
11	27
11.5	33
12	34
12.5	35
13	32
13.5	38
14	47
14.5	37
15	43
15.5	39
16	45
16.5	37
17	33
17.5	42
18	41
18.5	41
19	25
19.5	42
20	38
20.5	38
21	39
21.5	31
22	41
22.5	44
23	37
23.5	33
24	39
24.5	27
25	48
25.5	35
26	45
26.5	38
27	41
27.5	35
28	42
28.5	37
29	37
29.5	37
30	45
