Vernier Format 2
Untitled.cmbl 10/3/2024 12:23:07 .
Latest
Time	Radiation
t	Rad
s	Counts

0.5	36
1	36
1.5	31
2	26
2.5	42
3	32
3.5	45
4	43
4.5	33
5	48
5.5	35
6	36
6.5	33
7	31
7.5	39
8	46
8.5	36
9	44
9.5	34
10	36
10.5	42
11	39
11.5	46
12	42
12.5	41
13	29
13.5	42
14	39
14.5	31
15	32
15.5	36
16	32
16.5	36
17	30
17.5	43
18	27
18.5	42
19	40
19.5	40
20	36
20.5	51
21	33
21.5	40
22	34
22.5	34
23	39
23.5	31
24	34
24.5	47
25	27
25.5	35
26	23
26.5	38
27	53
27.5	41
28	22
28.5	34
29	39
29.5	38
30	36
