Vernier Format 2
Untitled.cmbl 10/3/2024 10:40:08 .
Latest
Time	Radiation
t	Rad
s	Counts

0.5	47
1	37
1.5	31
2	28
2.5	41
3	38
3.5	38
4	42
4.5	38
5	42
5.5	37
6	33
6.5	35
7	39
7.5	41
8	37
8.5	37
9	37
9.5	36
10	40
10.5	46
11	27
11.5	28
12	36
12.5	40
13	41
13.5	41
14	36
14.5	31
15	34
15.5	40
16	36
16.5	28
17	32
17.5	37
18	36
18.5	38
19	43
19.5	41
20	34
20.5	28
21	35
21.5	48
22	31
22.5	42
23	33
23.5	21
24	43
24.5	44
25	34
25.5	41
26	37
26.5	34
27	42
27.5	39
28	40
28.5	35
29	45
29.5	43
30	34
