Vernier Format 2
Untitled.cmbl 10/3/2024 10:41:46 .
Latest
Time	Radiation
t	Rad
s	Counts

0.5	32
1	42
1.5	42
2	31
2.5	33
3	30
3.5	34
4	39
4.5	40
5	43
5.5	43
6	34
6.5	43
7	44
7.5	33
8	32
8.5	30
9	35
9.5	34
10	28
10.5	38
11	42
11.5	39
12	33
12.5	35
13	32
13.5	28
14	41
14.5	36
15	29
15.5	39
16	37
16.5	48
17	40
17.5	37
18	36
18.5	32
19	38
19.5	35
20	39
20.5	33
21	39
21.5	27
22	32
22.5	24
23	23
23.5	33
24	34
24.5	40
25	32
25.5	40
26	36
26.5	42
27	44
27.5	42
28	38
28.5	32
29	31
29.5	36
30	37
