Vernier Format 2
Untitled.cmbl 10/3/2024 10:32:21 .
Latest
Time	Radiation
t	Rad
s	Counts

0.5	34
1	42
1.5	52
2	32
2.5	38
3	39
3.5	51
4	37
4.5	30
5	37
5.5	33
6	42
6.5	36
7	40
7.5	35
8	32
8.5	31
9	53
9.5	26
10	34
10.5	35
11	27
11.5	34
12	33
12.5	42
13	39
13.5	35
14	37
14.5	39
15	37
15.5	26
16	38
16.5	31
17	29
17.5	28
18	35
18.5	37
19	39
19.5	45
20	43
20.5	38
21	36
21.5	36
22	33
22.5	33
23	43
23.5	34
24	38
24.5	31
25	44
25.5	47
26	43
26.5	36
27	39
27.5	45
28	39
28.5	30
29	36
29.5	38
30	29
