Vernier Format 2
Untitled.cmbl 10/24/2024 12:26:44 .
Latest
Time	Position	Velocity 1	Acceleration 1	Angle 2	Velocity 2	Acceleration 2
t	x	v 1	acc 1	Angle 2	v 2	acc 2
s	m	m/s	m/s²	rad	rad/s	rad/s²

0.05	0.8789375	-0.0350622222222	0.0464743827161	0.331612557879	13.8656712797	-9.95807300999
0.1	0.8772225	-0.0343952777778	0.109939969136	1.01229096616	13.7832529539	-24.8273086096
0.15	0.875336	-0.0300125	0.227269259259	1.76278254451	12.6478193128	-51.2044049532
0.2	0.873621	-0.0143869444444	0.383175462963	2.39110107523	9.29872640368	-87.5040213035
0.25	0.8734495	0.0114333333333	0.473901080247	2.79252680319	3.55853241934	-116.849254739
0.3	0.87465	0.0395402777778	0.417951851852	2.80998009571	-3.5391398721	-119.239386187
0.35	0.877737	0.0598344444444	0.21178132716	2.40855436775	-9.87080654739	-86.4638266165
0.4	0.8813385	0.0637408333333	-0.0667473765432	1.71042266695	-13.448731514	-24.3591940664
0.45	0.8847685	0.0523075	-0.332043055556	0.890117918517	-12.8766513703	49.7849782313
0.5	0.8871695	0.0263919444444	-0.511800462963	0.226892802759	-7.84428536035	108.905313233
0.55	0.887341	-0.00152444444444	-0.609142592593	0	-0.319977029532	130.059350186
0.6	0.8875125	-0.0379205555556	-0.599720679012	0.209439510239	6.98131700798	108.706000942
0.65	0.883568	-0.0719347222222	-0.370842283951	0.802851455917	11.8585426399	55.7266392342
0.7	0.879109	-0.0811766666667	-0.00831033950617	1.55334303427	13.0220954746	-9.71782089691
0.75	0.87465	-0.0707913888889	0.326061728395	2.25147473507	10.5883307954	-69.1074968328
0.8	0.8713915	-0.0440183333333	0.552558179012	2.72271363311	5.37173558669	-110.004224244
0.85	0.869848	-0.00847972222222	0.611206944444	2.86233997327	-1.55140377955	-122.237689464
0.9	0.8707055	0.0242005555556	0.501849228395	2.56563400043	-8.32909904146	-98.9181514024
0.95	0.8727635	0.0457333333333	0.282339814815	1.93731546971	-12.8378662758	-43.110709888
1	0.875679	0.0554516666667	-0.00883966049382	1.11701072128	-13.4196426931	29.9938064046
1.05	0.879109	0.0462097222222	-0.311558333333	0.401425727959	-9.51204442337	95.0288683161
