Vernier Format 2
Untitled.cmbl 10/31/2024 11:42:04 .
Latest
Time	Position	Velocity 1	Acceleration 1	Angle 2	Velocity 2	Acceleration 2
t	x	v 1	acc 1	Angle 2	v 2	acc 2
s	m	m/s	m/s²	rad	rad/s	rad/s²

0.05	0.8463525	-0.883987222222	1.8331762037	0	0.465421133865	3.50466423255
0.1	0.8000475	-0.811433194444	2.41009902778	0.0174532925199	0.625409648631	3.75138052805
0.15	0.759402	-0.6830845	3.26445486111	0.0523598775598	0.849393569304	3.64741492755
0.2	0.7283605	-0.489823055556	4.18672257716	0.10471975512	1.02780500395	2.82323166966
0.25	0.708981	-0.248389166667	4.83130850309	0.157079632679	1.16355283466	1.31276771207
0.3	0.702807	0.0116238888889	5.03688089506	0.226892802759	1.17324910829	-0.504206228354
0.35	0.7101815	0.270684166667	4.83809969136	0.279252680319	1.07628637206	-1.73994243332
0.4	0.73059	0.510593611111	4.25102978395	0.331612557879	0.998716183086	-2.95736345477
0.45	0.762832	0.710391111111	3.3056625	0.383972435439	0.814486984264	-4.67575861337
0.5	0.803992	0.851688055556	2.09431141975	0.418879020479	0.513902501976	-6.03862373915
0.55	0.85064	0.925909444444	0.725275617284	0.436332312999	0.174532925199	-6.66349470592
0.6	0.8995175	0.926290555556	-0.695739506173	0.436332312999	-0.174532925199	-6.66349470592
0.65	0.9461655	0.853688888889	-2.05275972222	0.418879020479	-0.513902501976	-6.03862373915
0.7	0.987497	0.714773888889	-3.25156589506	0.383972435439	-0.814486984264	-4.67575861337
0.75	1.0199105	0.5187875	-4.20122067901	0.331612557879	-0.998716183086	-2.95736345477
0.8	1.041005	0.281736388889	-4.82211419753	0.279252680319	-1.07628637206	-1.73994243332
0.85	1.0490655	0.0208658333333	-5.05141604938	0.226892802759	-1.17324910829	-0.490200499789
0.9	1.043063	-0.2401	-4.8663654321	0.157079632679	-1.16355283466	1.41673331258
0.95	1.024198	-0.4802	-4.30941388889	0.10471975512	-1.02780500395	3.29673303154
1	0.993671	-0.684285	-3.41793148148	0.0523598775598	-0.824183257886	4.96126000335
1.05	0.95354	-0.833013611111	-2.25374290123	0.0174532925199	-0.513902501976	6.14636011273
