Vernier Format 2
Untitled.cmbl 10/31/2024 11:37:58 .
Latest
Time	Position	Velocity 1	Acceleration 1	Angle 2	Velocity 2	Acceleration 2
t	x	v 1	acc 1	Angle 2	v 2	acc 2
s	m	m/s	m/s²	rad	rad/s	rad/s²

0.05	0.9444505	-0.0375394444444	-1.12856527778	0	-0.48481368111	-4.75656089355
0.1	0.944279	-0.0875126388889	-1.27743680556	-0.0174532925199	-0.693283563987	-5.20636025325
0.15	0.9389625	-0.159495	-1.40526782407	-0.0523598775598	-1.01810873033	-5.1115522445
0.2	0.9286725	-0.237622777778	-1.35180640432	-0.12217304764	-1.28960439175	-3.60647510559
0.25	0.914438	-0.305174722222	-1.06872554012	-0.191986217719	-1.38656712797	-1.75879629869
0.3	0.897288	-0.350526944444	-0.625022222222	-0.261799387799	-1.42535222246	-0.360916851493
0.35	0.878423	-0.370630555556	-0.10030632716	-0.331612557879	-1.46413731695	1.7183951586
0.4	0.8590435	-0.361674444444	0.448705401235	-0.418879020479	-1.29930066537	4.46028586621
0.45	0.841036	-0.3232775	0.946002469136	-0.471238898038	-0.940538541353	5.82315099199
0.5	0.825944	-0.263538333333	1.36072546296	-0.506145483078	-0.669042879931	6.21638875556
0.55	0.813939	-0.184648333333	1.69652669753	-0.541052068118	-0.339369576777	6.78739153553
0.6	0.806736	-0.0888941666667	1.90666712963	-0.541052068118	0.00969627362219	7.28836567268
0.65	0.8048495	0.0126719444444	1.9592816358	-0.541052068118	0.387850944888	7.67621661757
0.7	0.808108	0.112427777778	1.87067330247	-0.506145483078	0.824183257886	7.00286428269
0.75	0.81634	0.2049425	1.64767037037	-0.453785605519	1.15385656104	4.99896773411
0.8	0.8292025	0.282498611111	1.29540725309	-0.383972435439	1.33808575986	2.62876751535
0.85	0.845495	0.337950277778	0.849824845679	-0.314159265359	1.38656712797	0.737994159022
0.9	0.8638455	0.37044	0.330772685185	-0.244346095279	1.38656712797	-0.69489960959
0.95	0.8837395	0.373298333333	-0.235071450617	-0.174532925199	1.33808575986	-2.44022886158
1	0.902433	0.3455725	-0.772755709877	-0.10471975512	1.16355283466	-4.49260677828
1.05	0.91924	0.292979166667	-1.2389816358	-0.0523598775598	0.862968352375	-6.04401055783
