Vernier Format 2						
Untitled.cmbl 10/24/2024 10:51:32 .						
Latest						
Time	Position	Velocity	Acceleration	Angle	Velocity2	Acceleration2
t	x	v 1	acc 1	Angle 2	v 2	acc 2
s	m	m/s	m/s²	rad	rad/s	rad/s²
						
0.05	0.916153	0.289263333333	-1.12479651235	0	0.252103114177	-2.08900828371
0.1	0.9321025	0.24224375	-1.38458195988	0.0174532925199	0.140595967522	-1.8056616212
0.15	0.9437645	0.167041	-1.73200708333	0.0174532925199	0.0407243492132	-1.24920325166
0.2	0.95011	0.0667897222222	-2.02795044753	0.0174532925199	0.00969627362219	-0.615713375009
0.25	0.9506245	-0.0456380555556	-2.13242782407	0.0174532925199	0	-0.383002808077
0.3	0.9454795	-0.155588611111	-2.0203758642	0.0174532925199	-0.00969627362219	-0.555919687672
0.35	0.9345035	-0.253438888889	-1.75136435185	0.0174532925199	-0.0387850944888	-1.03965600505
0.4	0.9194115	-0.333281666667	-1.38195123457	0.0174532925199	-0.135747830711	-1.14739237863
0.45	0.9008895	-0.399213888889	-0.846490123457	0	-0.174532925199	-0.80263598317
0.5	0.877737	-0.425701111111	-0.163030864198	0	-0.203621746066	-0.527908230541
0.55	0.856471	-0.410837777778	0.445106018519	-0.0174532925199	-0.261799387799	0.290888208666
0.6	0.8360625	-0.375299166667	0.938062654321	-0.0349065850399	-0.174532925199	1.01272191165
0.65	0.818055	-0.316226944444	1.38428024691	-0.0349065850399	-0.0872664625997	0.511747774505
0.7	0.8034775	-0.234669166667	1.7619507716	-0.0349065850399	-0.135747830711	0.177765016407
0.75	0.7938735	-0.135294444444	2.02560555556	-0.0523598775598	-0.126051557088	0.74876779638
0.8	0.789586	-0.0262966666667	2.14417345679	-0.0523598775598	-0.0387850944888	1.04504282372
0.85	0.7911295	0.0852736111111	2.10585061728	-0.0523598775598	0	0.991174636935
0.9	0.7983325	0.190936666667	1.90402052469	-0.0523598775598	0.0387850944888	1.18510010938
0.95	0.810852	0.281355277778	1.56144398148	-0.0523598775598	0.135747830711	1.04504282373
1	0.827316	0.350812777778	1.11792592593	-0.0349065850399	0.164836651577	0.549455505257
1.05	0.846867	0.395879166667	0.601890895062	-0.0349065850399	0.174532925199	0.333982758098
