Vernier Format 2
Untitled.cmbl 10/24/2024 12:30:53 .
Latest
Time	Position	Velocity 1	Acceleration 1	Angle 2	Velocity 2	Acceleration 2
t	x	v 1	acc 1	Angle 2	v 2	acc 2
s	m	m/s	m/s²	rad	rad/s	rad/s²

0.05	0.961772	-0.27097	-0.720797561728	-0.209439510239	-6.16683002371	-7.23449748589
0.1	0.949424	-0.304269583333	-0.767838317901	-0.506145483078	-6.50135146368	-7.37455477154
0.15	0.933303	-0.348087833333	-0.766906712963	-0.837758040957	-6.95222818711	-6.15551770449
0.2	0.914438	-0.388638055556	-0.623323101852	-1.20427718388	-7.31099031113	-1.31169034834
0.25	0.8936865	-0.4158875	-0.346244737654	-1.58824961931	-7.2528126694	7.28028544466
0.3	0.872249	-0.426272777778	0.0166418518519	-1.95476876223	-6.61285861033	16.7530060917
0.35	0.850297	-0.416745	0.438224845679	-2.26892802759	-5.48809087016	24.5207986268
0.4	0.8295455	-0.382826111111	0.869674382716	-2.51327412287	-4.07243492132	30.0638350475
0.45	0.811195	-0.327850833333	1.26248348765	-2.68780704807	-2.39497958468	33.2366712494
0.5	0.796103	-0.254963333333	1.60834182099	-2.75762021815	-0.610865238198	33.2743789802
0.55	0.7849555	-0.164449444444	1.88020108025	-2.74016692563	1.01810873033	31.0873305965
0.6	0.7791245	-0.0614541666667	2.02290601852	-2.65290046303	2.54042368901	27.5266434497
0.65	0.7787815	0.0435419444444	2.02740524691	-2.47836753783	3.84942062801	22.2583347816
0.7	0.7835835	0.145775	1.91460694444	-2.25147473507	4.78995916936	16.4082496962
0.75	0.793702	0.2392425	1.69546805556	-1.98967534727	5.46869832292	10.8867605502
0.8	0.808108	0.318227777778	1.39798966049	-1.69296937443	5.8565492678	5.83392462935
0.85	0.8261155	0.381492222222	1.0330757716	-1.3962634016	6.031082193	1.24435511485
0.9	0.8470385	0.4244625	0.59855617284	-1.08210413624	5.99229709851	-3.45295077324
0.95	0.869505	0.443613333333	0.114174537037	-0.785398163397	5.6820163426	-8.02097301302
1	0.892486	0.436086388889	-0.374865123457	-0.506145483078	5.16811384063	-12.217304764
1.05	0.914095	0.403977777778	-0.818171450617	-0.261799387799	4.46028586621	-16.4028628775
