Time,Voltage
-0.003764,-0.12
-0.00376,-0.136
-0.003756,-0.12
-0.003752,-0.1
-0.003748,-0.06
-0.003744,-0.024
-0.00374,0.024
-0.003736,0.072
-0.003732,0.124
-0.003728,0.192
-0.003724,0.236
-0.00372,0.256
-0.003716,0.268
-0.003712,0.272
-0.003708,0.268
-0.003704,0.252
-0.0037,0.228
-0.003696,0.196
-0.003692,0.152
-0.003688,0.104
-0.003684,0.06
-0.00368,0.02
-0.003676,-0.02
-0.003672,-0.052
-0.003668,-0.072
-0.003664,-0.08
-0.00366,-0.084
-0.003656,-0.076
-0.003652,-0.052
-0.003648,-0.024
-0.003644,0.008
-0.00364,0.04
-0.003636,0.08
-0.003632,0.112
-0.003628,0.136
-0.003624,0.152
-0.00362,0.164
-0.003616,0.16
-0.003612,0.148
-0.003608,0.124
-0.003604,0.092
-0.0036,0.056
-0.003596,0.008
-0.003592,-0.032
-0.003588,-0.076
-0.003584,-0.112
-0.00358,-0.132
-0.003576,-0.128
-0.003572,-0.112
-0.003568,-0.08
-0.003564,-0.04
-0.00356,0.012
-0.003556,0.064
-0.003552,0.12
-0.003548,0.18
-0.003544,0.26
-0.00354,0.292
-0.003536,0.312
-0.003532,0.324
-0.003528,0.336
-0.003524,0.332
-0.00352,0.316
-0.003516,0.292
-0.003512,0.264
-0.003508,0.22
-0.003504,0.172
-0.0035,0.128
-0.003496,0.088
-0.003492,0.044
-0.003488,0.008
-0.003484,-0.012
-0.00348,-0.032
-0.003476,-0.036
-0.003472,-0.028
-0.003468,-0.012
-0.003464,0.008
-0.00346,0.04
-0.003456,0.076
-0.003452,0.108
-0.003448,0.136
-0.003444,0.168
-0.00344,0.188
-0.003436,0.196
-0.003432,0.196
-0.003428,0.184
-0.003424,0.168
-0.00342,0.136
-0.003416,0.1
-0.003412,0.056
-0.003408,0.012
-0.003404,-0.032
-0.0034,-0.072
-0.003396,-0.104
-0.003392,-0.128
-0.003388,-0.132
-0.003384,-0.112
-0.00338,-0.084
-0.003376,-0.048
-0.003372,-0.004
-0.003368,0.044
-0.003364,0.096
-0.00336,0.144
-0.003356,0.212
-0.003352,0.244
-0.003348,0.26
-0.003344,0.268
-0.00334,0.276
-0.003336,0.268
-0.003332,0.24
-0.003328,0.212
-0.003324,0.18
-0.00332,0.136
