Time,Voltage
-0.005,-1.68
-0.004996,-2.88
-0.004992,-3.76
-0.004988,-4.4
-0.004984,-4.64
-0.00498,-4.64
-0.004976,-4.24
-0.004972,-3.52
-0.004968,-2.64
-0.004964,-1.52
-0.00496,-0.24
-0.004956,1.04
-0.004952,2.24
-0.004948,3.28
-0.004944,4
-0.00494,4.56
-0.004936,4.72
-0.004932,4.56
-0.004928,4
-0.004924,3.2
-0.00492,2.16
-0.004916,0.96
-0.004912,-0.32
-0.004908,-1.52
-0.004904,-2.64
-0.0049,-3.6
-0.004896,-4.32
-0.004892,-4.64
-0.004888,-4.72
-0.004884,-4.32
-0.00488,-3.68
-0.004876,-2.8
-0.004872,-1.6
-0.004868,-0.4
-0.004864,0.88
-0.00486,2.08
-0.004856,3.12
-0.004852,3.92
-0.004848,4.48
-0.004844,4.72
-0.00484,4.64
-0.004836,4.08
-0.004832,3.36
-0.004828,2.32
-0.004824,1.12
-0.00482,-0.16
-0.004816,-1.36
-0.004812,-2.56
-0.004808,-3.52
-0.004804,-4.16
-0.0048,-4.64
-0.004796,-4.64
-0.004792,-4.4
-0.004788,-3.76
-0.004784,-2.88
-0.00478,-1.84
-0.004776,-0.64
-0.004772,0.72
-0.004768,1.92
-0.004764,2.96
-0.00476,3.84
-0.004756,4.48
-0.004752,4.72
-0.004748,4.64
-0.004744,4.24
-0.00474,3.44
-0.004736,2.48
-0.004732,1.36
-0.004728,0.08
-0.004724,-1.2
-0.00472,-2.32
-0.004716,-3.36
-0.004712,-4.16
-0.004708,-4.56
-0.004704,-4.72
-0.0047,-4.48
-0.004696,-3.92
-0.004692,-3.04
-0.004688,-1.92
-0.004684,-0.8
-0.00468,0.48
-0.004676,1.76
-0.004672,2.8
-0.004668,3.76
-0.004664,4.4
-0.00466,4.64
-0.004656,4.64
-0.004652,4.24
-0.004648,3.6
-0.004644,2.64
-0.00464,1.52
-0.004636,0.24
-0.004632,-1.04
-0.004628,-2.24
-0.004624,-3.2
-0.00462,-4
-0.004616,-4.48
-0.004612,-4.64
-0.004608,-4.48
-0.004604,-4
-0.0046,-3.2
-0.004596,-2.16
-0.004592,-0.96
-0.004588,0.32
-0.004584,1.52
-0.00458,2.64
-0.004576,3.6
-0.004572,4.32
-0.004568,4.64
-0.004564,4.64
-0.00456,4.32
-0.004556,3.68
-0.004552,2.8
