Time,Position,Velocity1,Acceleration1,Angle2,Velocity2,Acceleration2
0.05,1.0140795,0.195891111111,-2.32147481481,-0.261799387799,-7.11706483869,-3.92160399831
0.1,1.027285,0.0945155555556,-2.69569416667,-0.610865238198,-7.31099031113,-3.07587346571
0.15,1.0302005,-0.0546513333333,-3.10865981481,-0.977384381117,-7.56309342531,-0.0775701889775
0.2,1.023169,-0.229428888889,-3.26625984568,-1.37881010908,-7.56309342531,7.282978854
0.25,1.0065335,-0.401500555556,-3.006395,-1.76278254451,-6.94253191349,17.3778770584
0.3,0.9818375,-0.544036111111,-2.40456762346,-2.09439510239,-5.77897907883,26.8371306588
0.35,0.950453,-0.646078611111,-1.66863148148,-2.35619449019,-4.18879020479,34.4702527269
0.4,0.91581,-0.711248611111,-0.897993055556,-2.53072741539,-2.21075038586,38.9574726865
0.45,0.877737,-0.736211388889,-0.10205308642,-2.58308729295,-0.0969627362219,38.9520858678
0.5,0.8408645,-0.723920555556,0.753647222222,-2.53072741539,1.83259571459,35.2297941606
0.55,0.803649,-0.667039722222,1.71547638889,-2.39110107523,3.51974732486,28.9272163062
0.6,0.7715785,-0.550800833333,2.62119753086,-2.16420827247,4.81904799023,20.6476759966
0.65,0.7468825,-0.393401944444,3.2754912037,-1.88495559215,5.58505360638,12.4058434177
0.7,0.731276,-0.209896944444,3.62542530864,-1.58824961931,5.93411945678,6.48034287083
0.75,0.7259595,-0.0228666666667,3.74637515432,-1.29154364648,6.17652629734,1.8207447135
0.8,0.728532,0.171309444444,3.66750632716,-0.959931088597,6.15713375009,-3.31289348758
0.85,0.743281,0.3575775,3.28321929012,-0.663225115758,5.84685299418,-8.47346578206
0.9,0.765919,0.508878611111,2.67682916667,-0.366519142919,5.30386167134,-13.6879062633
0.95,0.795417,0.627785277778,1.97113842593,-0.12217304764,4.47967841345,-19.0693381236
1,0.83006,0.709819444444,1.16577654321,0.0872664625997,3.4518734095,-25.355755522
1.05,0.868133,0.748025833333,0.280910648148,0.244346095279,1.95864727168,-31.5667574589
1.1,0.9067205,0.739546111111,-0.636984876543,0.296705972839,0.164836651577,-34.9766136827
1.15,0.9441075,0.681807777778,-1.5049125,0.261799387799,-1.68715161026,-35.0843500563
1.2,0.9763495,0.584910277778,-2.28005015432,0.12217304764,-3.43248086226,-32.7249234749
1.25,1.003961,0.4519025,-2.98028888889,-0.0872664625997,-5.01297346267,-28.560912636
1.3,1.023169,0.281069444444,-3.52077854938,-0.383972435439,-6.40923686427,-21.5903692654
1.35,1.0329445,0.0885130555556,-3.79131450617,-0.750491578358,-7.29159776389,-11.8994824619
1.4,1.0322585,-0.110522222222,-3.75786141975,-1.1344640138,-7.64066361429,-0.921145994108
1.45,1.021454,-0.298791111111,-3.44063935185,-1.53588974176,-7.41764932098,10.8167319074
1.5,1.0013885,-0.46305,-2.91163595679,-1.90240888467,-6.5546809686,22.1398247707
1.55,0.973777,-0.594152222222,-2.26051820988,-2.21656815003,-5.10023992527,31.044236047
1.6,0.9406775,-0.691335555556,-1.53148441358,-2.42600766027,-3.28703675792,36.2425160723
1.65,0.9032905,-0.751741666667,-0.695686574074,-2.54818070791,-1.35747830711,38.3164412637
1.7,0.863674,-0.766033333333,0.249416049383,-2.56563400043,0.649650332687,37.4491634564
1.75,0.824572,-0.728208055556,1.22670138889,-2.47836753783,2.52103114177,33.2474448868
1.8,0.7889,-0.640838333333,2.14523209877,-2.30383461263,4.12091628943,25.8351823845
1.85,0.758716,-0.5084975,2.93021512346,-2.04203522483,5.17781011425,16.914610652
1.9,0.7365925,-0.339760555556,3.50770432099,-1.76278254451,5.71110516347,9.82017045181
1.95,0.72373,-0.146537222222,3.80941728395,-1.46607657168,6.05047474025,4.85352362977
2,0.721672,0.0536413888889,3.81216975309,-1.15191730632,6.19591884458,0.166991379049
2.05,0.729561,0.244578055556,3.55994830247,-0.837758040957,6.1183486556,-5.31140321749
2.1,0.7468825,0.416268611111,3.11441882716,-0.523598775598,5.67232006898,-11.0160441985
2.15,0.7719215,0.565283055556,2.45276759259,-0.261799387799,4.98388464181,-16.2574187732
2.2,0.805364,0.669040555556,1.62400972222,-0.0174532925199,4.0627386477,-21.7842947379
2.25,0.840693,0.726874166667,0.787841358025,0.157079632679,2.83131189768,-27.6182193672
2.3,0.879452,0.746787222222,-0.0364172839506,0.279252680319,1.27990811813,-32.7680180243
2.35,0.917182,0.721919722222,-0.841143981481,0.296705972839,-0.542991322843,-35.5691637374
2.4,0.9526825,0.664753055556,-1.67673009259,0.226892802759,-2.41437213193,-35.0843500563
2.45,0.985782,0.557184444444,-2.53682376543,0.0523598775598,-4.19848647841,-31.1842933327
2.5,1.010478,0.402358055556,-3.2028683642,-0.209439510239,-5.62383870087,-24.9409704837
2.55,1.0267705,0.224665,-3.58948441358,-0.523598775598,-6.70982134656,-17.6256707177
2.6,1.033459,0.0338236111111,-3.72493765432,-0.890117918517,-7.46613068909,-8.33340849641
2.65,1.0302005,-0.15778,-3.61118657407,-1.29154364648,-7.67944870878,3.56607396549
2.7,1.016995,-0.334615555556,-3.29650524691,-1.69296937443,-7.11706483869,15.6971896306
2.75,0.9962435,-0.4947775,-2.79386203704,-2.02458193231,-5.99229709851,25.5766150879
2.8,0.966231,-0.623497777778,-2.08229583333,-2.30383461263,-4.4990709607,33.6029749196
2.85,0.9317595,-0.704102777778,-1.30239429012,-2.49582083035,-2.54042368901,38.9197649557
2.9,0.8950585,-0.756219722222,-0.444576697531,-2.56563400043,-0.407243492132,39.6254382027
