Vernier Format 2
Untitled.cmbl 10/24/2024 11:00:46 .
Latest
Time	Position	Velocity 1	Acceleration 1	Angle 2	Velocity 2	Acceleration 2
t	x	v 1	acc 1	Angle 2	v 2	acc 2
s	m	m/s	m/s²	rad	rad/s	rad/s²

0.05	0.9019185	-0.316512777778	0.435228888889	-0.0174532925199	-0.252103114177	1.66775906302
0.1	0.885626	-0.299458055556	0.577335694444	-0.0349065850399	-0.155140377955	1.21688233958
0.15	0.870534	-0.269026333333	0.799920462963	-0.0349065850399	-0.0814486984264	0.449260677828
0.2	0.857843	-0.220758611111	1.05294648148	-0.0349065850399	-0.135747830711	0.105581646108
0.25	0.8484105	-0.163973055556	1.32053941358	-0.0523598775598	-0.126051557088	0.695976973326
0.3	0.8405215	-0.0882272222222	1.5505187963	-0.0523598775598	-0.0387850944888	0.890979809506
0.35	0.838978	-0.000381111111112	1.59849645062	-0.0523598775598	-0.00969627362219	0.667965516195
0.4	0.841036	0.0787947222222	1.4746882716	-0.0523598775598	0.00969627362219	0.69489960959
0.45	0.8470385	0.15092	1.23966975309	-0.0523598775598	0.0387850944888	1.03965600505
0.5	0.8566425	0.208658333333	0.890264969136	-0.0523598775598	0.135747830711	1.00733509297
0.55	0.8693335	0.238099166667	0.568384876543	-0.0349065850399	0.164836651577	0.506360955826
0.6	0.8806525	0.258965	0.348610802469	-0.0349065850399	0.174532925199	0.150830923012
0.65	0.8950585	0.2769725	0.0575901234568	-0.0174532925199	0.174532925199	-0.150830923012
0.7	0.9094645	0.27097	-0.342470679012	-0.0174532925199	0.164836651577	-0.500974137147
0.75	0.9231845	0.241624444444	-0.727339969136	0	0.135747830711	-0.969627362219
0.8	0.934332	0.193699722222	-1.01973688272	0	0.0387850944888	-0.85650416996
0.85	0.942907	0.135580277778	-1.21071589506	0	0.0193925472444	-0.220859565839
0.9	0.9482235	0.0693622222222	-1.31319243827	0	0.0290888208666	0.150830923012
0.95	0.9499385	0.000666944444444	-1.32393765432	0	0.0872664625997	-0.366303670172
1	0.9482235	-0.0664086111111	-1.24824475309	0.0174532925199	0	-1.02349554901
1.05	0.9430785	-0.127576944444	-1.08844274691	0	-0.0872664625997	-0.511747774505
