Vernier Format 2
Untitled.cmbl 9/26/2024 10:58:31 .
Latest
Time	Radiation
t	Rad
s	Counts

0.5	35
1	39
1.5	31
2	42
2.5	29
3	42
3.5	43
4	41
4.5	29
5	34
5.5	43
6	41
6.5	28
7	29
7.5	29
8	38
8.5	44
9	38
9.5	44
10	47
10.5	41
11	33
11.5	39
12	29
12.5	29
13	36
13.5	30
14	46
14.5	44
15	34
15.5	38
16	35
16.5	33
17	34
17.5	35
18	36
18.5	38
19	36
19.5	34
20	41
20.5	36
21	38
21.5	30
22	35
22.5	40
23	33
23.5	38
24	25
24.5	46
25	36
25.5	46
26	32
26.5	27
27	40
27.5	42
28	34
28.5	44
29	43
29.5	35
30	48
