Vernier Format 2
Untitled.cmbl 10/24/2024 11:01:34 .
Latest
Time	Position	Velocity 1	Acceleration 1	Angle 2	Velocity 2	Acceleration 2
t	x	v 1	acc 1	Angle 2	v 2	acc 2
s	m	m/s	m/s²	rad	rad/s	rad/s²

0.05	0.933303	0.318608888889	-1.03940645062	0	0.329673303154	-1.33377630492
0.1	0.9506245	0.275209861111	-1.28687989198	0.0174532925199	0.281191935044	-1.69630920202
0.15	0.96383	0.205742833333	-1.61195708333	0.0349065850399	0.168715161026	-1.9230942684
0.2	0.9725765	0.1123325	-1.88915189815	0.0349065850399	0.048481368111	-1.48460722793
0.25	0.9756635	0.00161972222222	-1.89167146605	0.0349065850399	0.00969627362219	-0.868355171054
0.3	0.971376	-0.0852736111111	-1.70284679012	0.0349065850399	-0.00969627362219	-0.734762067815
0.35	0.9667455	-0.163306111111	-1.55032824074	0.0349065850399	-0.0387850944888	-1.04504282373
0.4	0.955598	-0.244196944444	-1.29567191358	0.0349065850399	-0.135747830711	-1.00733509297
0.45	0.941535	-0.305460555556	-0.820024074074	0.0174532925199	-0.164836651577	-0.511747774505
0.5	0.923013	-0.3267075	-0.325161882716	0.0174532925199	-0.174532925199	-0.188538653765
0.55	0.9080925	-0.326898055556	-0.0145563271605	0	-0.174532925199	-0.032320912074
0.6	0.890771	-0.327946111111	0.276570216049	0	-0.174532925199	0.032320912074
0.65	0.8741355	-0.3044125	0.645136419753	-0.0174532925199	-0.174532925199	0.188538653765
0.7	0.859558	-0.262395	0.996817283951	-0.0174532925199	-0.164836651577	0.511747774505
0.75	0.84721	-0.202941666667	1.31462160494	-0.0349065850399	-0.135747830711	1.00194827429
0.8	0.838635	-0.127291111111	1.55165154321	-0.0349065850399	-0.0387850944888	1.00733509297
0.85	0.834519	-0.0478294444444	1.74543595679	-0.0349065850399	-0.00969627362219	0.549455505257
0.9	0.8326325	0.0526886111111	1.79127515432	-0.0349065850399	0	0.37707730753
0.95	0.840007	0.147299444444	1.51888657407	-0.0349065850399	0.00969627362219	0.549455505257
1	0.8490965	0.208848888889	1.13020617284	-0.0349065850399	0.0387850944888	1.00194827429
1.05	0.861273	0.256773611111	0.772226388889	-0.0349065850399	0.135747830711	0.969627362219
1.1	0.875336	0.287453055556	0.392914969136	-0.0174532925199	0.164836651577	0.360916851493
1.15	0.8909425	0.296980833333	0.00698703703704	-0.0174532925199	0.164836651577	-0.140057285654
1.2	0.905863	0.286214444444	-0.341412037037	0	0.145444104333	-0.490200499789
1.25	0.9200975	0.260584722222	-0.641007716049	0	0.0775701889775	-0.183151835086
1.3	0.9324455	0.221139722222	-0.911014351852	0	0.135747830711	-0.021547274716
1.35	0.9427355	0.168736944444	-1.1575191358	0.0174532925199	0.126051557088	-0.678739153553
1.4	0.949767	0.104043333333	-1.3590316358	0.0174532925199	0.0387850944888	-0.85650416996
1.45	0.95354	0.0302983333333	-1.47685848765	0.0174532925199	0.00969627362219	-0.517134593184
1.5	0.9533685	-0.0525933333333	-1.40354753086	0.0174532925199	0	-0.366303670172
1.55	0.947366	-0.118525555556	-1.1489441358	0.0174532925199	-0.00969627362219	-0.517134593184
1.6	0.9406775	-0.165688055556	-0.895822839506	0.0174532925199	-0.0387850944888	-0.85650416996
1.65	0.930902	-0.209039444444	-0.625286882716	0.0174532925199	-0.126051557088	-0.673352334874
1.7	0.918554	-0.228190277778	-0.360520524691	0	-0.135747830711	0.010773637358
1.75	0.907921	-0.240766944444	-0.15990787037	0	-0.0775701889775	-0.037707730753
1.8	0.894544	-0.248865555556	0.126825308642	0	-0.135747830711	-0.199312291123
1.85	0.881853	-0.2323825	0.487822222222	-0.0174532925199	-0.135747830711	0.199312291123
1.9	0.870534	-0.197415555556	0.802556481481	-0.0174532925199	-0.0775701889775	0.037707730753
1.95	0.861616	-0.148538055556	1.03572237654	-0.0174532925199	-0.135747830711	-0.005386818679
2	0.8552705	-0.0898469444444	1.16932299383	-0.0349065850399	-0.126051557088	0.711060065627
2.05	0.8525265	-0.0278211111111	1.20939259259	-0.0349065850399	-0.0387850944888	1.03426918637
2.1	0.8525265	0.0336330555556	1.1792212963	-0.0349065850399	0	0.958853724861
2.15	0.8559565	0.0928005555556	1.07896790123	-0.0349065850399	0.0387850944888	1.03426918637
2.2	0.8621305	0.144155277778	0.911331944444	-0.0349065850399	0.126051557088	0.711060065627
2.25	0.8707055	0.186458611111	0.679912808642	-0.0174532925199	0.135747830711	-0.00538681867899
2.3	0.8813385	0.214756111111	0.386563117284	-0.0174532925199	0.0775701889775	0.037707730753
2.35	0.892829	0.226284722222	0.0689175925926	-0.0174532925199	0.135747830711	0.199312291123
2.4	0.9046625	0.221616111111	-0.24698117284	0	0.135747830711	-0.199312291123
2.45	0.91581	0.197796666667	-0.497985185185	0	0.0775701889775	-0.037707730753
2.5	0.9242135	0.172452777778	-0.742796141975	0	0.135747830711	0.010773637358
2.55	0.9341605	0.125195	-0.989406790123	0.0174532925199	0.126051557088	-0.678739153553
2.6	0.937419	0.0641219444444	-1.0502787037	0.0174532925199	0.0387850944888	-0.888825082034
2.65	0.93982	0.0151491666667	-1.00015200617	0.0174532925199	0.00969627362219	-0.662578697516
2.7	0.939134	-0.0363961111111	-0.923400462963	0.0174532925199	-0.00969627362219	-0.657191878837
2.75	0.9355325	-0.0757458333333	-0.861416975309	0.0174532925199	-0.0387850944888	-0.85650416996
2.8	0.931931	-0.120335833333	-0.822564814815	0.0174532925199	-0.126051557088	-0.53329504922
