Vernier Format 2
Untitled.cmbl 10/24/2024 11:00:17 .
Latest
Time	Position	Velocity 	Acceleration 	Angle 	Velocity2	Acceleration2
t	x	v 1	acc 1	Angle 2	v 2	acc 2
s	m	m/s	m/s²	rad	rad/s	rad/s²

0.05	0.858872	0.267349444444	0.216746358025	0	0.271495661421	-1.25836084341
0.1	0.8717345	0.279163888889	0.161824012346	0.0174532925199	0.193925472444	-0.955621633654
0.15	0.886312	0.2900065	0.0288374074074	0.0174532925199	0.168715161026	-0.656114515102
0.2	0.901404	0.28812	-0.216132345679	0.0349065850399	0.145444104333	-0.63348987665
0.25	0.91581	0.270207777778	-0.521719938272	0.0349065850399	0.0775701889775	-0.205776473538
0.3	0.9290155	0.236288888889	-0.83647537037	0.0349065850399	0.135747830711	-0.0237020021876
0.35	0.940163	0.185124722222	-1.11279151235	0.0523598775598	0.126051557088	-0.678739153553
0.4	0.948052	0.121193333333	-1.30011820988	0.0523598775598	0.0387850944888	-0.851117351281
0.45	0.952511	0.0508783333333	-1.38454490741	0.0523598775598	0.00969627362219	-0.48481368111
0.5	0.953197	-0.0210563888889	-1.37057083333	0.0523598775598	0	-0.220859565839
0.55	0.9502815	-0.0897516666667	-1.26391265432	0.0523598775598	0	-0.226246384518
0.6	0.943936	-0.151015277778	-1.06827561728	0.0523598775598	-0.00969627362219	-0.517134593184
0.65	0.934675	-0.199606944444	-0.799274691358	0.0523598775598	-0.0387850944888	-0.996561455614
0.7	0.923356	-0.232763611111	-0.486445987654	0.0523598775598	-0.135747830711	-0.969627362219
0.75	0.910665	-0.248198611111	-0.168641666667	0.0349065850399	-0.164836651577	-0.360916851493
0.8	0.897974	-0.248675	0.133547685185	0.0349065850399	-0.164836651577	0.140057285654
0.85	0.885283	-0.235050277778	0.434202006173	0.0174532925199	-0.145444104333	0.490200499789
0.9	0.8737925	-0.205037777778	0.720617592593	0.0174532925199	-0.0775701889775	0.183151835086
0.95	0.8641885	-0.160733611111	0.95351882716	0.0174532925199	-0.135747830711	0.026934093395
1	0.8573285	-0.10633	1.10834521605	0	-0.126051557088	0.716446884306
