Time,Position,Velocity1,Acceleration1,Angle2,Velocity2,Acceleration2
0.05,0.933646,-0.466289444444,-0.3507175,0.0872664625997,4.38271567723,15.3707484186
0.1,0.9111795,-0.485964305556,-0.236590601852,0.279252680319,5.11478433571,15.5280435241
0.15,0.8857975,-0.5026665,0.0339665277778,0.558505360638,6.01556815521,13.9286970583
0.2,0.8597295,-0.495730277778,0.54407316358,0.890117918517,6.7292138938,8.41367209472
0.25,0.8346905,-0.453426944444,1.19880087963,1.25663706144,6.96192446073,0.416401083886
0.3,0.81291,-0.374251111111,1.82911101852,1.60570291183,6.71951762018,-7.01579264752
0.35,0.796103,-0.265253333333,2.33393503086,1.93731546971,6.19591884458,-13.3000553184
0.4,0.78547,-0.133674722222,2.65449182099,2.23402144255,5.41052068118,-19.6942090904
0.45,0.7822115,0.0100041666667,2.73648364198,2.49582083035,4.2372715729,-26.1368442305
0.5,0.7866705,0.149871944444,2.57752854938,2.67035375555,2.74404543508,-31.5936915523
0.55,0.797818,0.274971666667,2.22796496914,2.77507351067,1.06659009844,-36.4579888194
0.6,0.814968,0.378824444444,1.7192875,2.79252680319,-0.940538541352,-39.9001659553
0.65,0.83692,0.452093055556,1.0848962963,2.68780704807,-3.08341501186,-39.5769568346
0.7,0.861616,0.489823055556,0.383069598765,2.47836753783,-5.09054365165,-34.6803386554
0.75,0.887341,0.490775833333,-0.337283333333,2.16420827247,-6.7292138938,-25.4473314396
0.8,0.912037,0.456285277778,-1.05504259259,1.78023583703,-7.75701889775,-13.122290302
0.85,0.9345035,0.383969444444,-1.72600987654,1.36135681656,-8.09638847453,0.743380977701
0.9,0.951825,0.277925277778,-2.25623070988,0.942477796077,-7.70853752964,15.0992527572
0.95,0.963144,0.149967222222,-2.58372160494,0.558505360638,-6.54498469498,28.2484771526
1,0.96726,0.0106711111111,-2.68752145062,0.261799387799,-4.74147780125,38.009392599
1.05,0.964173,-0.127576944444,-2.56964166667,0.0698131700798,-2.55981623626,43.3100221791
1.1,0.9540545,-0.254486944444,-2.24956126543,0,-0.22301429331,43.9079590525
1.15,0.937762,-0.358435,-1.77592484568,0.0523598775598,1.99743236617,40.2610828068
1.2,0.917182,-0.435800555556,-1.19684768519,0.209439510239,3.95607963785,32.9565566781
1.25,0.8930005,-0.482105555556,-0.521487037037,0.471238898038,5.38143186032,23.4703689844
1.3,0.867447,-0.490585277778,0.213210493827,0.767944870878,6.2928815808,13.9033790105
1.35,0.842408,-0.460572777778,0.94409691358,1.11701072128,6.75830271467,4.73501361884
1.4,0.8199415,-0.393687777778,1.61141188272,1.46607657168,6.70982134656,-3.17822302061
1.45,0.8017625,-0.294789444444,2.15730061728,1.79768912955,6.37045176978,-9.69627362219
1.5,0.7894145,-0.170451944444,2.51893271605,2.11184839491,5.75958653158,-16.3220605974
1.55,0.7842695,-0.0340141666667,2.66338441358,2.39110107523,4.75117407487,-22.9747816659
1.6,0.7859845,0.1037575,2.60330648148,2.60054058547,3.41308831501,-28.679422647
1.65,0.7949025,0.234192777778,2.34229830247,2.74016692563,1.84229198822,-33.4359835405
1.7,0.810166,0.3455725,1.89481033951,2.79252680319,0.0581776417331,-37.4491634564
1.75,0.8305745,0.429226388889,1.30715817901,2.75762021815,-1.9683435453,-39.485380917
1.8,0.854413,0.479628333333,0.630580092593,2.60054058547,-4.07243492132,-37.2821720773
1.85,0.8799665,0.493729444444,-0.088237808642,2.33874119767,-5.90503063591,-30.2308264265
1.9,0.905177,0.471529722222,-0.819706481481,1.98967534727,-7.24311639578,-19.4895099806
1.95,0.9286725,0.410837777778,-1.51708688272,1.58824961931,-7.93155182295,-6.64733424988
2,0.947709,0.314797777778,-2.09288225309,1.16937059884,-7.93155182295,6.92744882119
2.05,0.961086,0.194271388889,-2.48966126543,0.767944870878,-7.23342012215,20.2867591451
2.1,0.9677745,0.0578336111111,-2.68048148148,0.418879020479,-5.8565492678,32.2401097938
2.15,0.9670885,-0.0832727777778,-2.63850632716,0.157079632679,-3.87850944888,40.9075010483
2.2,0.959028,-0.214851388889,-2.38152098765,0.0174532925199,-1.56110005317,44.6782741236
2.25,0.9447935,-0.327183888889,-1.96939166667,0,0.79509443702,43.3908244593
2.3,0.925414,-0.415982777778,-1.44001774691,0.10471975512,2.95736345477,37.6754098409
2.35,0.90209,-0.475817222222,-0.798957098765,0.314159265359,4.68330015952,28.9164426688
2.4,0.876365,-0.499255555556,-0.0788688271605,0.593411945678,5.89533436229,18.9023467446
2.45,0.85064,-0.484392222222,0.661439506173,0.925024503557,6.57407351585,8.93134536977
2.5,0.8264585,-0.431894166667,1.36945925926,1.27409035396,6.70982134656,0.576389598652
2.55,0.80605,-0.344238611111,1.98887067901,1.60570291183,6.54498469498,-5.97936873368
